AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
7418,POLICE OFFICER                     ,M,W ,30 - 39,37,CIS HOMICIDE                                           ,SQUAD 1                                                ,6,1642
7420,POLICE OFFICER                     ,M,W ,40 - 49,44,2ND DIVISION                                           ,DETECTIVES                                             ,6,1643
7416,POLICE OFFICER                     ,M,W ,30 - 39,33,SWAT UNIT                                              ,SQUAD 1                                                ,6,1644
7401,POLICE OFFICER                     ,M,W ,30 - 39,31,4TH DIVISION                                           ,2ND PLATOON                                            ,6,1645
7423,POLICE OFFICER                     ,M,W ,30 - 39,36,CIS HOMICIDE                                           ,SQUAD 4                                                ,6,1646
7404,POLICE OFFICER                     ,F,W ,30 - 39,31,5TH DIVISION                                           ,2ND PLATOON                                            ,6,1647
7405,POLICE OFFICER                     ,M,W ,30 - 39,32,3RD DIVISION                                           ,1ST PLATOON                                            ,6,1648
7406,POLICE OFFICER                     ,F,W ,30 - 39,37,1ST DIVISION                                           ,RESOURCE OFFICERS                                      ,6,1649
7408,POLICE OFFICER                     ,M,W ,30 - 39,33,8TH DIVISION                                           ,2ND PLATOON                                            ,6,1650
7409,POLICE OFFICER                     ,M,W ,30 - 39,38,3RD DIVISION                                           ,2ND PLATOON                                            ,6,1651
7410,POLICE OFFICER                     ,M,W ,21 - 29,28,2ND DIVISION                                           ,1ST PLATOON                                            ,6,1652
7398,POLICE OFFICER                     ,M,W ,30 - 39,32,4TH DIVISION                                           ,DETECTIVES                                             ,6,1653
7422,POLICE OFFICER                     ,M,B ,21 - 29,29,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,6,1654
7393,POLICE OFFICER                     ,M,B ,30 - 39,30,CIS HOMICIDE                                           ,SQUAD 2                                                ,6,1655
7419,POLICE OFFICER                     ,M,A ,21 - 29,28,6TH DIVISION                                           ,2ND PLATOON                                            ,6,1656
7417,POLICE OFFICER                     ,M,W ,21 - 29,29,1ST DIVISION                                           ,2ND PLATOON                                            ,6,1657
7396,POLICE OFFICER                     ,M,W ,21 - 29,28,5TH DIVISION                                           ,2ND PLATOON                                            ,6,1658
7400,POLICE OFFICER                     ,M,B ,40 - 49,41,6TH DIVISION                                           ,1ST PLATOON                                            ,6,1659
7403,POLICE OFFICER                     ,M,W ,21 - 29,28,5TH DIVISION                                           ,1ST PLATOON                                            ,6,1660
7415,POLICE OFFICER                     ,M,W ,30 - 39,32,7TH DIVISION                                           ,2ND PLATOON                                            ,6,1661
7391,POLICE OFFICER                     ,M,W ,30 - 39,36,4TH DIVISION                                           ,DETECTIVES                                             ,6,1662
7407,POLICE OFFICER                     ,M,W ,30 - 39,35,4TH DIVISION                                           ,1ST PLATOON                                            ,6,1663
7414,POLICE OFFICER                     ,M,W ,21 - 29,29,7TH DIVISION                                           ,2ND PLATOON                                            ,6,1664
7389,POLICE OFFICER                     ,M,W ,30 - 39,34,8TH DIVISION                                           ,1ST PLATOON                                            ,6,1665
7388,POLICE OFFICER                     ,M,W ,30 - 39,35,CIS HOMICIDE                                           ,SQUAD 4                                                ,6,1666
7402,POLICE OFFICER                     ,M,W ,40 - 49,45,4TH DIVISION                                           ,1ST PLATOON                                            ,6,1667
7397,POLICE OFFICER                     ,M,W ,40 - 49,41,7TH DIVISION                                           ,DETECTIVES                                             ,6,1668
7387,POLICE OFFICER                     ,M,B ,21 - 29,29,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,6,1669
7413,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,2ND PLATOON                                            ,6,1670
7390,POLICE OFFICER                     ,M,W ,21 - 29,29,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,6,1671
